SKU,ProductName,Category,Price,Description
2001,Classic White T-Shirt,Apparel,499,"100% cotton, regular fit"
2002,Sports Running Shoes,Footwear,2499,"Lightweight, breathable mesh, size 6-11"
2003,Smartphone X200,Electronics,15999,"6.5-inch display, 128GB storage, dual camera"
2004,Organic Almonds 500g,Groceries,699,"Premium quality, vacuum packed"
2005,Leather Wallet,Accessories,999,"Brown, bi-fold, RFID protection"
2006,Formal Blue Shirt,Apparel,1299,"Slim fit, wrinkle-free fabric"
2007,Wireless Keyboard & Mouse,Electronics,2499,"Ergonomic design, 2.4GHz connectivity"
2008,Kids Toy Car,Kids,799,"Battery operated, safe plastic"
2009,Microwave Oven 20L,Home Appliances,7499,"Digital display, 5 power levels"
2010,Organic Honey 250g,Groceries,349,"Pure, raw, unprocessed honey"
2011,Travel Backpack 40L,Accessories,1999,"Water-resistant, multiple compartments"
2012,Smartwatch FitPro,Electronics,4999,"Heart rate monitor, step tracker, Bluetooth"
2013,Office Chair Ergonomic,Home & Furniture,8999,"Adjustable height, lumbar support"
2014,LED Bulb 9W,Home Appliances,199,"Energy efficient, 10-year lifespan"
2015,Winter Jacket,Apparel,3499,"Insulated, waterproof, hooded"
